page	claim	claim_label	tags	source_list	claim_source_domain	claim_source_url	date
http://www.emergent.info/Samsung-Apple-watch-processor	Claim: Samsung will supply application processors for Apple Watch	unverified	['Apple Watch', 'Apple Watch Components', 'BusinessKorea', 'Cho Jin-young', 'Samsung']	['http://www.businesskorea.co.kr/article/7485/new-honeymoon-iphone-6-features-flood-components-made-samsung']	http://www.businesskorea.co.kr/	http://www.businesskorea.co.kr/article/7485/new-honeymoon-iphone-6-features-flood-components-made-samsung	2015/11/26
http://www.emergent.info/man-slapping-people-for-sneezing	Claim: A man in England is wanted by police for slapping people who sneeze in public	true	['Cumbria', 'sneezing', 'United Kingdom']	['http://www.newsandstar.co.uk/news/carlisle-head-slapper-attacks-sneezing-women-1.1199717']	http://www.newsandstar.co.uk/	http://www.newsandstar.co.uk/news/carlisle-head-slapper-attacks-sneezing-women-1.1199717	2015/03/22
http://www.emergent.info/human-death-GMO	Claim: Doctors confirmed the first case of death by genetically modified food	false	['Fake News', 'Hoaxes', 'World News Daily Report']	['http://worldnewsdailyreport.com/doctors-confirm-first-human-death-officially-caused-by-gmos/']	http://worldnewsdailyreport.com/	http://worldnewsdailyreport.com/doctors-confirm-first-human-death-officially-caused-by-gmos/	2015/03/09
http://www.emergent.info/apple-watch-store-appointments	Claim: Apple will take appointments at Apple Stores to try on the Apple Watch	unverified	['Apple Watch', 'Daisuke Wakabayashi', 'Wall Street Journal']	['http://www.wsj.com/articles/smartwatch-pushes-apple-into-high-end-fashion-1425857649?mod=LS1']	http://www.wsj.com/	http://www.wsj.com/articles/smartwatch-pushes-apple-into-high-end-fashion-1425857649?mod=LS1	2015/03/08
http://www.emergent.info/apple-watch-platinum-edition	Claim: Apple is considering the release of a platinum edition of the Apple Watch	unverified	['Apple Watch', 'Daisuke Wakabayashi', 'Wall Street Journal']	['http://www.wsj.com/articles/smartwatch-pushes-apple-into-high-end-fashion-1425857649?mod=LS1']	http://www.wsj.com/	http://www.wsj.com/articles/smartwatch-pushes-apple-into-high-end-fashion-1425857649?mod=LS1	2015/03/08
http://www.emergent.info/Apple-Watch-gold-formula	Claim: The Apple Watch Edition has less gold than typical 18k gold	unverified	['Apple Watch', 'Apple Watch Edition', 'Dr Drang', 'Gold', 'Leancrew.com']	['http://leancrew.com/all-this/2015/03/apple-gold/']	http://leancrew.com/	http://leancrew.com/all-this/2015/03/apple-gold/	2015/03/07
http://www.emergent.info/gold-Apple-Watch-straps	Claim: Apple will offer gold Watch straps	false	['Apple Watch', 'Apple Watch Accessories', 'Daring Fireball', 'Jon Gruber']	['http://daringfireball.net/2015/03/apple_watch_prelude']	http://daringfireball.net/	http://daringfireball.net/2015/03/apple_watch_prelude	2015/03/07
http://www.emergent.info/larger-Apple-Watch-more-expensive	Claim: Apple will charge more for the larger Apple Watch	true	['Apple Watch', 'Apple Watch Price', 'Daring Fireball', 'Jon Gruber']	['http://daringfireball.net/2015/03/apple_watch_prelude']	http://daringfireball.net/	http://daringfireball.net/2015/03/apple_watch_prelude	2015/03/07
http://www.emergent.info/Gruber-Apple-Watch-Edition-Sport-band	Claim: The gold Apple Watch Edition with a sport band will cost $7499/7999 USD.	false	['Apple Watch', 'Apple Watch Edition', 'Apple Watch Price', 'Daring Fireball', 'Jon Gruber']	['http://daringfireball.net/2015/03/apple_watch_prelude']	http://daringfireball.net/	http://daringfireball.net/2015/03/apple_watch_prelude	2015/03/07
http://www.emergent.info/steel-Apple-Watch-sport-band	Claim: The steel Apple Watch with a sport band will cost $749/799 USD.	false	['Apple Watch', 'Apple Watch Price', 'Daring Fireball', 'Jon Gruber']	['http://daringfireball.net/2015/03/apple_watch_prelude']	http://daringfireball.net/	http://daringfireball.net/2015/03/apple_watch_prelude	2015/03/07
http://www.emergent.info/Gruber-Apple-Watch-Edition-top-price	Claim: The most expensive version of the Apple Watch Edition will cost $19,999	false	['Apple Watch', 'Apple Watch Edition', 'Apple Watch Price', 'Daring Fireball', 'Jon Gruber']	['http://daringfireball.net/2015/03/apple_watch_prelude']	http://daringfireball.net/	http://daringfireball.net/2015/03/apple_watch_prelude	2015/03/07
http://www.emergent.info/Apple-Watch-notifications-wrist	Claim: The Apple Watch only receives notifications when on the wrist	unverified	['Apple Watch', 'Apple Watch Features', 'Matthew Panzarino', 'TechCrunch']	['http://techcrunch.com/2015/03/06/the-apple-watch-is-time-saved/#InYuXY:HADe']	http://techcrunch.com/	http://techcrunch.com/2015/03/06/the-apple-watch-is-time-saved/#InYuXY:HADe	2015/03/06
http://www.emergent.info/KFC-selling-pot	Claim: KFC restaurants in Colorado will start selling marijuana	false	['Fake News', 'Hoaxes', 'kfc', 'Marijuana']	['http://theracketreport.com/kfc-gets-occupational-business-license-to-sell-marijuana-in-colorado-restaurants/']	http://theracketreport.com/	http://theracketreport.com/kfc-gets-occupational-business-license-to-sell-marijuana-in-colorado-restaurants/	2015/03/05
http://www.emergent.info/ISIS-made-woman-eat-son	Claim: ISIS gave a Kurdish woman a meal and told her she'd eaten her own son	unverified	['Cannibalism', 'ISIS', 'The Sun']	['http://www.thesun.co.uk/sol/homepage/news/6351852/Sick-Islamic-State-jihadis-fed-mother-her-son-says-Brit-taking-fight-to-fanatics.html']	http://www.thesun.co.uk/	http://www.thesun.co.uk/sol/homepage/news/6351852/Sick-Islamic-State-jihadis-fed-mother-her-son-says-Brit-taking-fight-to-fanatics.html	2015/03/02
http://www.emergent.info/Tiger-Woods-drugs	Claim: Tiger Woods is serving a suspension from the PGA Tour after failing a drug test	false	['Drugs', 'Golf', 'PGA Tour', 'Tiger Woods']	['http://thegame730am.com/pga-golfer-dan-olsen-says-tiger-woods-is-armstrong-of-golf/']	http://thegame730am.com/	http://thegame730am.com/pga-golfer-dan-olsen-says-tiger-woods-is-armstrong-of-golf/	2015/03/02
http://www.emergent.info/international-school-lunches	Claim: Photos comparing school lunches from around the world include a meagre offering from the U.S.	false	['Michelle Obama', 'Photos', 'School Lunches', 'United States of America']	['http://www.dailymail.co.uk/news/article-2958640/Photos-school-lunches-served-world-reveal-just-meager-America-s-meals-compared-cash-strapped-nations.html']	http://www.dailymail.co.uk/	http://www.dailymail.co.uk/news/article-2958640/Photos-school-lunches-served-world-reveal-just-meager-America-s-meals-compared-cash-strapped-nations.html	2015/03/02
http://www.emergent.info/400-men-castrated	Claim: 400 men were castrated on the orders of an Indian spiritual guru	unverified	['Castration', 'Dera Sacha Sauda', 'Gurmeet Ram Rahim Singh', 'India']	['http://www.hindustantimes.com/haryana/dera-sacha-sauda-head-got-followers-castrated-to-protect-sadhvis-from-sexual-exploitation-petitioner/article1-1300920.aspx']	http://www.hindustantimes.com/	http://www.hindustantimes.com/haryana/dera-sacha-sauda-head-got-followers-castrated-to-protect-sadhvis-from-sexual-exploitation-petitioner/article1-1300920.aspx	2015/03/02
http://www.emergent.info/stolen-testicles	Claim: A Russian man met a woman for a drink in a sauna and woke up to find his testicles stolen	unverified	['Black Market', 'Life News', 'Medicine', 'Russia', 'Testicles']	['http://lifenews.ru/news/150348']	http://lifenews.ru/	http://lifenews.ru/news/150348	2015/02/26
http://www.emergent.info/Jihadi-John-is-Mohammed-Emwazi	Claim: 'Jihadi John' is a Londoner named Mohammed Emwazi	unverified	['ISIS', 'Jihadi John', 'Mohammed Emwazi', 'Washington Post']	['http://www.washingtonpost.com/world/national-security/jihadi-john-the-islamic-state-killer-behind-the-mask-is-a-young-londoner/2015/02/25/d6dbab16-bc43-11e4-bdfa-b8e8f594e6ee_story.html']	http://www.washingtonpost.com/	http://www.washingtonpost.com/world/national-security/jihadi-john-the-islamic-state-killer-behind-the-mask-is-a-young-londoner/2015/02/25/d6dbab16-bc43-11e4-bdfa-b8e8f594e6ee_story.html	2015/02/26
http://www.emergent.info/disney-collector-is-former-porn-star	Claim: The woman behind the hugely popular DC Toys Collector (Disney Collector) YouTube channel is a former porn star 	unverified	['Daiane DeJesus', 'DC Toys Collector', 'Porm', 'Sandy Summers', 'YouTube']	['http://www.dailymail.co.uk/news/article-2958242/Brazilian-former-porn-star-Diane-DeJesus-mystery-figure-5million-year-YouTube-sensation-DC-Toys-Collector.html']	http://www.dailymail.co.uk/	http://www.dailymail.co.uk/news/article-2958242/Brazilian-former-porn-star-Diane-DeJesus-mystery-figure-5million-year-YouTube-sensation-DC-Toys-Collector.html	2015/02/25
